uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred,residual
2024-09-30,4,69.7,77.56922,77.2574238877563,77.41332269216917,-7.7133226921691715
2024-10-07,4,72.76,77.13118,77.57494268721405,77.35306124839218,-4.593061248392175
2024-10-14,4,76.02,75.18333,74.2785779463513,74.73095233377136,1.2890476662286403
2024-10-21,4,77.59,77.67753,72.99207714849682,75.33480276492224,2.255197235077759
2024-10-28,4,76.49,76.04878,72.52018319725445,74.28448277294363,2.2055172270563617
2024-11-04,4,77.8,77.51136,72.47460996343825,74.99298506594764,2.8070149340523614
2024-11-11,4,81.68,77.42013,78.00286359774401,77.71149573319818,3.9685042668018298
2024-11-18,4,86.59,76.30372,76.92051311005373,76.61211583847412,9.977884161525878
2024-11-25,4,89.32,74.74469,82.22030635324221,78.48249814732424,10.837501852675757
2024-12-02,4,87.46,77.92854,74.69316598906889,76.3108545399446,11.149145460055394
2024-12-09,4,90.74,84.894424,88.73892178171019,86.81667311009338,3.923326889906619
2024-12-16,4,92.15,84.894424,90.99990343610874,87.94716393729266,4.202836062707348
2024-12-23,4,111.82,90.885506,92.27625643014504,91.58088105320728,20.239118946792715
2024-12-30,4,125.36,92.59769,94.98358172942308,93.7906342485006,31.569365751499404
2025-01-06,4,117.77,99.2515,98.1883497079896,98.71992634935611,19.05007365064388
2025-01-13,4,105.08,99.68477,97.23932242268026,98.46204554971904,6.617954450280962
2025-01-20,4,98.43,100.29478,99.45354366149142,99.87416028899769,-1.4441602889976792
2025-01-27,4,94.49,98.0758,98.2185569829056,98.1471775087868,-3.657177508786802
2025-02-03,4,92.18,101.75308,102.36535485521264,102.05921856530163,-9.879218565301628
2025-02-10,4,93.23,103.51331,102.96179096720503,103.23755213033104,-10.007552130331035
2025-02-17,4,92.97,103.51331,108.52403605144234,106.01867467244968,-13.048674672449678
2025-02-24,4,92.67,104.68143,103.12867593865428,103.9050514703037,-11.235051470303702
2025-03-03,4,87.0,101.662834,99.93195736854112,100.7973957680108,-13.797395768010801
2025-03-10,4,88.64,97.28014,94.28514906482792,95.78264640131044,-7.142646401310444
2025-03-17,4,89.09,96.44266,96.89269440032368,96.66767593551342,-7.577675935513412
2025-03-24,4,84.45,96.44266,96.89269440032368,96.66767593551342,-12.217675935513412
2025-03-31,4,76.4,95.96392,99.86754331198102,97.91573195262136,-21.51573195262135
2025-04-07,4,78.56,97.19994,101.34084075858073,99.2703921505306,-20.710392150530595
2025-04-14,4,95.33,95.62188,100.11977645628912,97.87082801696292,-2.5408280169629194
2025-04-21,4,89.19,95.75113,91.70809423800452,93.72961169419756,-4.539611694197561
2025-04-28,4,75.35,96.73399,93.58604486024294,95.1600191952582,-19.810019195258207
2025-05-05,4,74.31,82.35446,75.20896181721014,78.781711743566,-4.471711743566004
2025-05-12,4,77.06,81.52906,90.03028302636699,85.77967169506826,-8.719671695068257
2025-05-19,4,75.89,97.01966,99.03572365577638,98.02769230274173,-22.137692302741726
2025-05-26,4,70.42,97.91274,94.76566670124188,96.339204657994,-25.919204657994
2025-06-02,4,72.42,79.74782,73.95012679853772,76.8489723958509,-4.4289723958508915
2025-06-09,4,82.73,74.376854,73.92927051276823,74.15306222781966,8.576937772180344
2025-06-16,4,76.33,76.68399,79.33979917193716,78.01189482522639,-1.6818948252263937
2025-06-23,4,68.74,73.96243,66.18415346810032,70.07329316471422,-1.3332931647142203
2025-06-30,4,70.28,72.26523,66.05539722954263,69.1603127505135,1.1196872494865033
2025-07-07,4,67.29,72.18939,61.65505299338464,66.92222254161419,0.36777745838581666
2025-07-14,4,68.13,81.35873,79.44534125703292,80.40203387924888,-12.27203387924888
2025-07-21,4,65.1,73.002,61.36666421427621,67.18433155782171,-2.084331557821713
2025-07-28,4,60.58,71.59598,59.566684312731454,65.5813310479673,-5.001331047967298
2025-08-04,4,62.05,70.58013,59.85940983443533,65.21977068259852,-3.169770682598525
2025-08-11,4,64.38,72.62328,63.2224125751054,67.92284798066794,-3.5428479806679434
2025-08-18,4,65.13,66.29215,71.00139565424723,68.6467740295162,-3.516774029516199
2025-08-25,4,65.86,66.63805,71.1546986577886,68.89637246121852,-3.0363724612185194
2025-09-01,4,70.2,66.8393,68.3757812739417,67.60754166846499,2.5924583315350134
2025-09-08,4,74.99,68.232666,69.37546009664331,68.80406305613415,6.1859369438658405
2025-09-15,4,77.4,68.85449,65.81618170165308,67.33533694457654,10.064663055423466
2025-09-22,4,79.91,71.12661,65.82706828132243,68.47683904178426,11.433160958215737
2025-09-29,4,77.68,70.51862,67.11797473119111,68.81829904162095,8.86170095837906
2025-10-06,4,75.38,71.4756,69.18788377934216,70.3317424878156,5.048257512184392
2025-10-13,4,73.74,73.02958,76.59145708865267,74.81051812562517,-1.0705181256251706
2025-10-20,4,78.25,77.187416,85.73359009350007,81.46050308508012,-3.21050308508012
2025-10-27,4,80.55,81.407135,86.08853288825384,83.74783394900973,-3.197833949009734
2025-11-03,4,78.08,75.564384,88.72824835611259,82.14631640828091,-4.066316408280912
2025-11-10,4,80.1,75.17224,82.88786156393309,79.0300513874353,1.0699486125647013
2025-11-17,4,84.54,77.15388,88.57913502238726,82.86650614034403,1.6734938596559772
2025-11-24,4,82.5,83.03017,90.25875546808768,86.64446104703211,-4.1444610470321095
2025-12-01,4,88.83,83.7015,87.66976098569164,85.68563046232825,3.14436953767175
2025-12-08,4,95.84,84.97864,89.58740889197912,87.28302329364581,8.556976706354192
2025-12-15,4,88.71,86.84497,94.9388455270678,90.8919081150964,-2.1819081150964053
2025-12-22,4,103.59,89.26411,94.18223883954975,91.72317279501902,11.866827204980979
2025-12-29,4,100.4,91.09625,98.18528116311174,94.640766802259,5.759233197741011
2026-01-05,4,92.33,97.36531,102.6094808604854,99.98739576471536,-7.6573957647153605
2026-01-12,4,83.65,100.271835,101.09760167774895,100.6847185024487,-17.034718502448698
2026-01-19,4,83.09,100.45885,104.0318035180597,102.24532528197906,-19.15532528197906
2026-01-26,4,81.29,100.916504,102.13566892021856,101.52608641323428,-20.236086413234275
2026-02-02,4,92.86,104.153725,105.76076946014268,104.95724706527642,-12.09724706527642
2026-02-09,4,93.6,103.35027,104.7346014131851,104.04243727275464,-10.442437272754646
2026-02-16,4,84.89,96.76095,102.92156755996513,99.84125787055874,-14.951257870558734
2026-02-23,4,81.34,95.13656,100.77932867015149,97.95794360143316,-16.617943601433154
2026-03-02,4,88.03,89.66637,98.40894400368234,94.0376552904154,-6.0076552904154
2026-03-09,4,94.98,102.85568,105.7515647739188,104.30362357348284,-9.323623573482834
2024-03-18,8,106.78,,,,
2024-03-25,8,115.19,,,,
2024-04-01,8,120.04,,,,
2024-04-08,8,123.28,,,,
2024-04-15,8,121.22,,,,
2024-04-22,8,113.18,,,,
2024-04-29,8,119.65,,,,
2024-05-06,8,122.05,,,,
2024-05-13,8,120.83,102.42259,106.63113415898084,104.5268631610334,16.303136838966594
2024-05-20,8,118.07,100.23522,106.88992288025196,103.56257237152246,14.50742762847753
2024-05-27,8,104.9,93.19893,107.1140000303267,100.15646443166725,4.74353556833276
2024-06-03,8,92.2,92.69828,105.22091545718554,98.95959789582908,-6.759597895829074
