uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred
2025-08-18,4,65.13,66.29215,71.00139565424723,68.6467740295162
2025-08-25,4,65.86,66.63805,71.1546986577886,68.89637246121852
2025-09-01,4,70.2,66.8393,68.3757812739417,67.60754166846499
2025-09-08,4,74.99,68.232666,69.37546009664331,68.80406305613415
2025-09-15,4,77.4,68.85449,65.81618170165308,67.33533694457654
2025-09-22,4,79.91,71.12661,65.82706828132243,68.47683904178426
2025-09-29,4,77.68,70.51862,67.11797473119111,68.81829904162095
2025-10-06,4,75.38,71.4756,69.18788377934216,70.3317424878156
2025-10-13,4,73.74,73.02958,76.59145708865267,74.81051812562517
2025-10-20,4,78.25,77.187416,85.73359009350007,81.46050308508012
2025-10-27,4,80.55,81.407135,86.08853288825384,83.74783394900973
2025-11-03,4,78.08,75.564384,88.72824835611259,82.14631640828091
2025-11-10,4,80.1,75.17224,82.88786156393309,79.0300513874353
2025-11-17,4,84.54,77.15388,88.57913502238726,82.86650614034403
2025-11-24,4,82.5,83.03017,90.25875546808767,86.64446104703211
2025-12-01,4,88.83,83.7015,87.66976098569164,85.68563046232825
2025-12-08,4,95.84,84.97864,89.58740889197912,87.28302329364581
2025-12-15,4,88.71,86.84497,94.9388455270678,90.8919081150964
2025-12-22,4,103.59,89.26411,94.18223883954975,91.72317279501902
2025-12-29,4,100.4,91.09625,98.18528116311174,94.640766802259
2026-01-05,4,92.33,97.36531,102.60948086048539,99.98739576471536
2026-01-12,4,83.65,100.271835,101.09760167774897,100.6847185024487
2026-01-19,4,83.09,100.45885,104.0318035180597,102.24532528197906
2026-01-26,4,81.29,100.916504,102.13566892021855,101.52608641323428
2026-02-02,4,92.86,104.153725,105.76076946014267,104.95724706527642
2026-02-09,4,93.6,103.35027,104.7346014131851,104.04243727275465
2026-02-16,4,84.89,96.76095,102.92156755996511,99.84125787055874
2026-02-23,4,81.34,95.13656,100.77932867015147,97.95794360143316
2026-03-02,4,88.03,89.66637,98.40894400368234,94.03765529041539
2026-03-09,4,94.98,102.85568,105.75156477391879,104.30362357348284
2024-03-18,8,106.78,,,
2024-03-25,8,115.19,,,
2024-04-01,8,120.04,,,
2024-04-08,8,123.28,,,
2024-04-15,8,121.22,,,
2024-04-22,8,113.18,,,
2024-04-29,8,119.65,,,
2024-05-06,8,122.05,,,
2024-05-13,8,120.83,102.42259,106.63113415898083,104.52686316103339
2024-05-20,8,118.07,100.23522,106.88992288025196,103.56257237152246
2024-05-27,8,104.9,93.19893,107.1140000303267,100.15646443166725
2024-06-03,8,92.2,92.69828,105.22091545718554,98.95959789582909
