iso_aar,iso_uke,uke_start,uke_kode,eksport_volum_tonn,eksport_pris_nok_kg,eur_nok_snitt,eur_nok_ukeslutt,usd_nok_snitt,usd_nok_ukeslutt,fao_global_atlantisk_tonn,fao_norge_tonn,fao_eks_norge_tonn,pris_lag_1,pris_lag_2,pris_lag_4,pris_lag_8,pris_lag_12,volum_lag_1,volum_lag_4,volum_lag_12,pris_ma_4,pris_ma_12,pris_endring_1u,pris_endring_4u,pris_endring_52u,eur_endring_4u,usd_endring_4u,maaned,kvartal,uke_sin,uke_cos
2010,38,2010-09-20,2010U38,13516,37.86,7.929399999999999,7.9475,5.981260000000001,5.9257,1439238.0,940180.0,499058.0,36.76,37.07,39.58,38.49,39.09,12597.0,12120.0,12245.0,37.7575,38.99333333333333,0.02992383025027201,-0.04345629105608895,,-0.0038854421257129568,-0.055800761643748364,9,3,-0.992708874098054,-0.12053668025532357
2010,39,2010-09-27,2010U39,13536,37.2,7.971299999999999,8.04,5.8681399999999995,5.8575,1439238.0,940180.0,499058.0,37.86,36.76,37.62,38.85,40.07,13516.0,12697.0,11817.0,37.3275,38.89083333333333,-0.017432646592709933,-0.011164274322168932,,0.01914057548485215,-0.04709614446071264,9,3,-1.0,-1.8369701987210297e-16
2010,40,2010-10-04,2010U40,13279,36.15,8.057599999999999,8.1,5.8234,5.8383,1439238.0,940180.0,499058.0,37.2,37.86,37.07,39.85,40.73,13536.0,13132.0,11275.0,37.2225,38.651666666666664,-0.02822580645161299,-0.02481791205826822,,0.02844083291010646,-0.05672601544576206,10,4,-0.992708874098054,0.1205366802553232
2010,41,2010-10-11,2010U41,13935,37.84,8.1089,8.0925,5.79932,5.7438,1439238.0,940180.0,499058.0,36.15,37.2,36.76,41.31,38.5,13279.0,12597.0,10242.0,36.9925,38.27,0.04674965421853394,0.029379760609358208,,0.016007532956685333,-0.0582081720994293,10,4,-0.9709418174260521,0.23931566428755738
2010,42,2010-10-18,2010U42,13539,37.31,8.1518,8.143,5.85918,5.844,1439238.0,940180.0,499058.0,37.84,36.15,37.86,39.58,38.49,13935.0,13516.0,10625.0,37.2625,38.215,-0.014006342494714663,-0.014527205493924944,,0.024598930481283476,-0.013787400644649561,10,4,-0.9350162426854148,0.35460488704253557
2010,43,2010-10-25,2010U43,14335,36.11,8.1401,8.192,5.85984,5.9118,1439238.0,940180.0,499058.0,37.31,37.84,37.2,37.62,38.85,13539.0,13536.0,9884.0,37.125,38.11666666666667,-0.03216295899222732,-0.02930107526881731,,0.01890547263681608,0.00927016645326506,10,4,-0.8854560256532101,0.464723172043768
2010,44,2010-11-01,2010U44,13748,36.06,8.1647,8.119,5.80858,5.7647,1439238.0,940180.0,499058.0,36.11,37.31,36.15,37.07,39.85,14335.0,13279.0,10182.0,36.8525,37.888333333333335,-0.001384657989476512,-0.0024896265560164776,,0.002345679012345725,-0.012606409399996577,11,4,-0.8229838658936566,0.5680647467311556
2010,45,2010-11-08,2010U45,13988,35.76,8.092400000000001,8.133,5.86076,5.9317,1439238.0,940180.0,499058.0,36.06,36.11,37.84,36.76,41.31,13748.0,13935.0,11048.0,36.83,37.5725,-0.008319467554076643,-0.05496828752642724,,0.005004633920296486,0.03271353459382298,11,4,-0.7485107481711011,0.6631226582407952
2010,46,2010-11-15,2010U46,14497,36.3,8.1699,8.2,6.00392,5.9968,1439238.0,940180.0,499058.0,35.76,36.06,37.31,37.86,39.58,13988.0,13539.0,12120.0,36.31,37.11,0.015100671140939603,-0.027070490485124776,,0.006999877195136728,0.026146475017111648,11,4,-0.6631226582407955,0.7485107481711007
2010,47,2010-11-22,2010U47,15255,36.05,8.1726,8.177,6.0969999999999995,6.183,1439238.0,940180.0,499058.0,36.3,35.76,36.11,37.2,37.62,14497.0,14335.0,12697.0,36.0575,36.836666666666666,-0.00688705234159781,-0.0016615895873719477,,-0.001831054687500111,0.045874352988937384,11,4,-0.5680647467311559,0.8229838658936564
2010,48,2010-11-29,2010U48,15346,38.42,8.068900000000001,8.005,6.14476,6.0433,1439238.0,940180.0,499058.0,36.05,36.3,36.06,36.15,37.07,15255.0,13748.0,13132.0,36.042500000000004,36.70583333333333,0.065742024965326,0.06544647809206872,,-0.014041138071190895,0.048328620743490536,11,4,-0.4647231720437684,0.88545602565321
2010,49,2010-12-06,2010U49,17626,43.13,7.9599,7.9375,6.00294,5.9933,1439238.0,940180.0,499058.0,38.42,36.05,35.76,37.84,36.76,15346.0,13988.0,12597.0,36.6325,36.818333333333335,0.12259239979177505,0.20609619686800906,,-0.024037870404524653,0.010384881231350063,12,4,-0.35460488704253595,0.9350162426854147
2010,50,2010-12-13,2010U50,17716,43.46,7.8952,7.8925,5.9311,5.9521,1439238.0,940180.0,499058.0,43.13,38.42,36.3,37.31,37.86,17626.0,14497.0,13516.0,38.475,37.34916666666667,0.007651286807326629,0.19724517906336092,,-0.03749999999999987,-0.00745397545357529,12,4,-0.2393156642875578,0.970941817426052
2010,51,2010-12-20,2010U51,10713,43.24,7.85775,7.837,5.989375,5.9989,1439238.0,940180.0,499058.0,43.46,43.13,36.05,36.11,37.2,17716.0,15255.0,13536.0,40.265,37.81583333333333,-0.005062126092958974,0.19944521497919565,,-0.04158004158004158,-0.02977519003719875,12,4,-0.12053668025532363,0.992708874098054
2010,52,2010-12-27,2010U52,7752,40.37,7.8202,7.8125,5.9168199999999995,5.8564,1439238.0,940180.0,499058.0,43.24,43.46,38.42,36.06,36.15,10713.0,15346.0,13279.0,42.0625,38.31916666666667,-0.06637372802960229,0.05075481520041625,,-0.024047470331043153,-0.03092681151026766,12,4,-2.4492935982947064e-16,1.0
2011,1,2011-01-03,2011U01,9309,38.43,7.7704,7.726,5.88432,5.961,1737714.0,1065576.0,672138.0,40.37,43.24,43.13,35.76,37.84,7752.0,17626.0,13935.0,42.55,38.670833333333334,-0.04805548674758475,-0.10897287271041045,0.28873239436619724,-0.026645669291338603,-0.0053893514424439015,1,1,0.12053668025532306,0.992708874098054
2011,2,2011-01-10,2011U02,11133,39.96,7.7575,7.85,5.9338,5.8806,1737714.0,1065576.0,672138.0,38.43,40.37,43.46,36.3,37.31,9309.0,17716.0,13539.0,41.375,38.72,0.03981264637002346,-0.08053382420616662,0.4185303514376997,-0.0053848590433956955,-0.012012566993162,1,1,0.23931566428755777,0.970941817426052
2011,3,2011-01-17,2011U03,11853,40.44,7.839700000000001,7.892,5.83484,5.8368,1737714.0,1065576.0,672138.0,39.96,38.43,43.24,36.05,36.11,11133.0,10713.0,14335.0,40.5,38.94083333333333,0.012012012012011963,-0.06475485661424618,0.3983402489626555,0.007017991578410099,-0.027021620630448884,1,1,0.3546048870425356,0.9350162426854148
2011,4,2011-01-24,2011U04,11570,38.82,7.8907,7.933,5.778740000000001,5.7863,1737714.0,1065576.0,672138.0,40.44,39.96,40.37,38.42,36.06,11853.0,7752.0,13748.0,39.8,39.30166666666667,-0.040059347181008786,-0.0383948476591528,0.30751094644661503,0.015423999999999882,-0.011969810805272818,1,1,0.46472317204376856,0.8854560256532099
2011,5,2011-01-31,2011U05,10320,39.98,7.8718,7.8075,5.73536,5.7278,1737714.0,1065576.0,672138.0,38.82,40.44,38.43,43.13,35.76,11570.0,9309.0,13988.0,39.4125,39.531666666666666,0.029881504379185797,0.04033307311995826,0.2556532663316582,0.010548796272327188,-0.03912095286025841,1,1,0.5680647467311558,0.8229838658936564
2011,6,2011-02-07,2011U06,10817,39.71,7.885599999999999,7.93,5.8014600000000005,5.8636,1737714.0,1065576.0,672138.0,39.98,38.82,39.96,43.46,36.3,10320.0,11133.0,14497.0,39.8,39.88333333333333,-0.0067533766883440816,-0.006256256256256254,0.16009348524685962,0.010191082802547768,-0.00289086147672013,2,1,0.6631226582407952,0.7485107481711011
2011,7,2011-02-14,2011U07,10982,40.81,7.8202,7.7555,5.78042,5.6913,1737714.0,1065576.0,672138.0,39.71,39.98,40.44,43.24,36.05,10817.0,11853.0,15255.0,39.7375,40.1675,0.027700831024930705,0.009149357072205877,0.17001146788990829,-0.0172959959452611,-0.024928042763157965,2,1,0.7485107481711011,0.6631226582407953
2011,8,2011-02-21,2011U08,10585,41.61,7.7485,7.764,5.6476,5.6416,1737714.0,1065576.0,672138.0,40.81,39.71,38.82,40.37,38.42,10982.0,11570.0,15346.0,39.83,40.56416666666667,0.019603038470962897,0.07187017001545604,0.23252369668246442,-0.02130341610992048,-0.02500734493545087,2,1,0.8229838658936565,0.5680647467311558
2011,9,2011-02-28,2011U09,10941,40.89,7.7235,7.78,5.57452,5.5743,1737714.0,1065576.0,672138.0,41.61,40.81,39.98,38.43,43.13,10585.0,10320.0,17626.0,40.5275,40.83,-0.017303532804614274,0.02276138069034528,0.15606446140797292,-0.0035222542427153503,-0.026799120081008487,2,1,0.8854560256532099,0.4647231720437686
2011,10,2011-03-07,2011U10,12801,40.56,7.7707,7.8055,5.59522,5.6672,1737714.0,1065576.0,672138.0,40.89,41.61,39.71,39.96,43.46,10941.0,10817.0,17716.0,40.755,40.64333333333334,-0.00807043286867204,0.021405187610173737,0.13074993030387527,-0.015699873896595107,-0.033494781362985115,3,1,0.9350162426854148,0.35460488704253557
